11111111	72	3000
12345678	67	3000
50000000	66	3100
50000001	53	3100
50000002	62	3100
50000003	72	3000
50000004	72	3000
50000005	53	3300
50000006	106	3220
50000008	106	3220
50000010	66	3300
50002203	66	3250
50002682	62	3150
50002773	53	3150
50002807	66	3260
50004498	90	3240
50006295	66	3260
50006683	62	3150
50006808	62	3160
50010768	72	3020
50010867	66	3270
50012012	62	3180
50012731	106	3240
50012897	66	3270
50013622	66	3250
50013838	66	3250
50013929	66	3240
50014257	66	3270
50014737	66	3250
50014851	66	3260
50014950	66	3260
50014984	66	3260
50015361	66	3260
50016278	62	3150
50019421	62	3160
50020460	62	3160
50021377	62	3160
50021674	66	3250
50022060	62	3160
50022227	62	3170
50025576	53	3140
50029008	66	3250
50029552	66	3260
50040468	62	3170
50040617	66	3260
50042027	106	3260
50044973	62	3170
50045038	62	3170
50045806	62	3160
50046713	62	3150
50047620	62	3160
50047877	66	3260
50048370	66	3270
50050415	53	3160
50051387	62	3170
50055912	62	3160
50056142	62	3160
50056266	62	3150
50056415	53	3150
50056928	53	3140
50057413	53	3150
50057421	53	3180
50057439	62	3160
50057611	62	3170
50057710	62	3150
50062538	66	3250
50063387	66	3260
50063445	62	3170
50064079	66	3270
50064138	106	3220
50064179	66	3270
50064278	66	3260
50065044	62	3170
50065275	62	3130
50065325	106	3250
50066547	66	3260
50066836	106	3230
50067388	53	3150
50067651	66	3250
50067842	106	3240
50067909	106	3230
50068188	106	3240
50068220	106	3250
50070218	106	3240
50070341	106	3230
50070358	106	3230
50070689	106	3250
50071299	62	3150
50071398	62	3160
50072602	53	3150
50073972	106	3240
50074616	106	3230
50074988	106	3240
50075639	90	3230
50075928	90	3225
50076090	66	3260
50076884	90	3240
50077536	90	3230
50077866	90	3250
50078153	90	3240
50078229	90	3250
50078898	66	3240
50078963	90	3240
50079987	90	3250
50080035	62	3150
50081314	90	3240
50081397	79	3020
50081470	90	3240
50081488	90	3230
50081587	62	3160
50081629	62	3160
50081710	90	3240
50081769	62	3150
50081868	62	3150
50081884	62	3150
50081942	90	3240
50082148	90	3230
50083617	62	3140
50083781	62	3160
50083898	66	3250
50086016	62	3140
50086131	62	3150
50086941	106	3220
50088293	53	3140
50088475	106	3220
50088665	62	3160
50089960	53	3130
50090497	62	3170
50092329	62	3160
50092881	62	3150
50092949	62	3150
50092980	62	3160
50093053	62	3160
50093111	62	3150
50093129	62	3170
50093137	62	3170
50093145	62	3150
50093152	62	3120
50093178	62	3150
50093194	62	3150
50093210	62	3160
50094598	62	3160
50094794	90	3250
50099506	62	3160
50101591	66	3260
50103399	66	3260
50103522	62	3160
50103548	62	3170
50103688	62	3170
50103811	62	3170
50103860	62	3160
50104496	66	3260
50105097	66	3240
50106688	62	3150
50109990	66	3250
50110252	62	3150
50111095	66	3250
50111590	66	3250
50112093	66	3260
50112291	66	3260
50113509	66	3270
50115690	66	3270
50115898	66	3250
50116243	62	3150
50116904	106	3230
50117472	106	3240
50117621	106	3240
50118199	62	3150
50118439	62	3160
50118470	66	3240
50118686	66	3270
50118967	106	3230
50119171	66	3270
50119403	106	3220
50119635	62	3150
50120039	66	3250
50120211	62	3160
50120278	62	3200
50120336	62	3150
50120633	106	3230
50120641	62	3160
50120864	62	3150
50121375	62	3140
50121623	62	3170
50122209	62	3160
50123074	62	3160
50123504	62	3160
50123892	62	3160
50124346	62	3250
50124379	62	3160
50125780	62	3160
50126457	106	3230
50128339	62	3150
50130251	62	3180
50130483	62	3160
50130525	62	3170
50130574	62	3160
50130723	62	3150
50130822	62	3160
50130970	62	3160
50131069	62	3160
50131101	25	3010
50131127	62	3160
50139229	53	3140
50140102	66	3260
50140292	66	3270
50140458	66	3250
50140466	66	3250
50141399	66	3260
50142975	62	3160
50143353	53	3150
50144088	66	3260
50144575	62	3200
50144591	62	3170
50144625	53	3170
50146042	106	3220
50148253	66	3260
50148352	106	3230
50148618	106	3240
50148634	62	3160
50149020	62	3160
50149186	62	3160
50149475	66	3260
50149517	66	3260
50149657	66	3260
50149848	66	3260
50150044	66	3250
50150101	53	3120
50150176	62	3160
50150663	62	3160
50150754	66	3250
50150879	66	3260
50150903	66	3270
50150911	62	3170
50150986	66	3250
50151109	62	3150
50151521	66	3260
50151653	66	3250
50152214	62	3160
50152338	62	3170
50152586	62	3140
50154129	62	3160
50154178	62	3170
50154620	62	3170
50154640	62	3150
50154657	62	3160
50154830	62	3170
50156496	72	3030
50157536	62	3150
50159003	72	3030
50159284	72	3030
50159383	66	3250
50159565	72	3020
50159623	62	3170
50160878	90	3250
50161744	62	3140
50162304	66	3240
50162338	62	3160
50162759	53	3140
50163922	90	3240
50164847	106	3230
50165091	62	3115
50167451	90	3230
50167758	72	3030
50167972	62	3150
50168228	53	3150
50169382	62	3170
50172691	66	3250
50172766	66	3270
50172899	66	3250
50172956	66	3240
50172964	66	3250
50173038	66	3250
50173376	66	3250
50173897	66	3250
50174002	66	3270
50174010	66	3260
50174564	62	3170
50174598	66	3250
50176361	62	3160
50176643	62	3150
50177797	66	3240
50178697	72	3030
50179902	90	3240
50180777	90	3230
50182526	90	3235
50183938	66	3250
50184654	62	3160
50186956	62	3170
50187210	66	3260
50187228	66	3250
50189190	106	3240
50192459	62	3150
50192724	66	3250
50192731	62	3150
50195494	62	3150
50196203	53	3200
50196591	62	3150
50197813	66	3250
